,date,body,ngram
13,2017-11-30,"이에 동 위원은 가계대출에 대한 리스크 관리가 강화되면서 은행이 가산금리  의 인하를 통해 개인사업자대출을 확대할 가능성도 있다는 분석이 있는데, 이번  에 발표된 여신심사 가이드라인의 영향에 대해서는 어떻게 평가하고 있는지 관련  부서에 물었으며,  이에 대해 관련부서에서는 개인사업자대출에 대한 여신심사 가이드라인이 시  행되면 업종별 여신한도 설정, 업황 등을 고려한 여신심사 등으로 동 대출의 부  동산임대업 쏠림현상이 일정부분 완화될 것으로 기대되지만, 부동산임대업의 투  자수익률이 상대적으로 높은 데다 은행의 대출취급 유인도 크기 때문에 동 업종  의 대출 증가세가 어느 정도로 둔화될지는 좀 더 지켜봐야 할 것으로 보인다고  답변하였음","가계/NNG;대출/NNG;위험관리/NNG;강화/NNG,개인사업자/NNG;대출/NNG;확대/NNG,대출/NNG;증가/NNG;둔화/NNG"
14,2017-11-30,이어서 동 위원은 주택담보대출과 관련하여 고LTV·고DTI 대출 비중이 낮아지  고는 있지만 금리상승에 취약한 변동금리대출 비중은 장단기금리차 확대와 더불  어 높아질 조짐을 보이고 있다고 언급하였음,"금리/NNG;상승/NNG;취약/NNG,낮/VA;금리/NNG;상승/NNG,장단기스프레드/NNG;확대/NNG,높/VA;조짐/NNG"
15,2017-11-30,"아울러 고정금리대출 중에서 혼합  형금리대출이 상당한 비중을 차지하고 있는 것으로 보인다고 지적하고, 앞으로  금리상승과 더불어 동 대출이 변동금리로 전환되면 가계의 이자부담이 늘어나면  서 부채상환 위험이 높아질 가능성은 없을지 우려된다는 견해를 밝혔음","부채/NNG;상환/NNG;위험/NNG,금리/NNG;상승/NNG,위험/NNG;높/VA"
16,2017-11-30,이에 대해 관련부서에서는 지난 몇 년 전부터 늘어나기 시작한 혼합형금리대  출이 내년부터 고정금리에서 변동금리로 순차적으로 전환될 예정이지만 현 변동  금리가 그 당시 고정금리보다 낮은 수준에 있음을 감안하면 일부 가계의 경우 이  자부담이 오히려 줄어들 것으로 예상된다고 답변하였음,금리/NNG;고정/NNG;금리/NNG;낮/VA
17,2017-11-30,"다른 일부 위원은 최근 각종 규제 강화 등으로 기분양주택의 잔금대출 수요  가 유입되면서 신용대출이 일부 늘어난 측면은 없는지 관련부서의 견해를 물었으  며,  이에 대해 관련부서에서는 분양대금 중에서 잔금이 차지하는 비중이 상당하  기 때문에 기존주택의 매도나 신규주택의 임대 등이 여의치 않은 경우에는 잔금  대출 외에도 신용대출 등을 활용하고 있는 것으로 알고 있다고 답변하였음",신용/NNG;대출/NNG;늘/VV
18,2017-11-30,"이에 동 위원은 최근 인터넷전문은행의 신용대출 증가가 이 같은 대출수요의  유입에 따른 것인지, 자체적인 신규수요 발생에 기인한 것인지 점검해 볼 필요가  있다고 당부하였음",신용/NNG;대출/NNG;증가/NNG
19,2017-11-30,"- 12 -  또 다른 일부 위원은 가계부채 문제가 금융시스템 전반의 리스크로 이어질  가능성은 여전히 제한적인 것으로 보고 있는지 관련부서에 물었으며,  이에 대해 관련부서에서는 금년에 가계부채 증가율이 축소되긴 하였지만 그  절대 수준은 여전히 높은 것으로 평가되고 있다고 답변하였음",금융시스템/NNG;위험/NNG
20,2017-11-30,"이에 동 위원은 내년에는 가계부채의 증가세가 어떠할 것으로 예상되는지 관  련부서에 물었으며,  이에 대해 관련부서에서는 내년에도 가계부채 관리대책 등의 영향으로 가계  부채의 증가세가 둔화될 것으로 보인다고 답변하였음",가계/NNG;부채/NNG;증가/NNG;둔화/NNG
26,2017-11-30,"이어서 동 위원은 최근의 회사채 순상환 등을 감안할 때 회사채시장이 크게  위축될 우려는 없는지 관련부서의 견해를 물었으며,  이에 대해 관련부서에서는 회사채 순상환이 주로 연말 북클로징(book closing)  등 계절적 요인에 기인하므로 회사채시장이 크게 위축되지는 않을 것으로 보인다    - 13 -  고 답변하였음",우려/NNG;없/VA
27,2017-11-30,"또한 동 위원은 미국의 금리인상이 신흥국에 미칠 부정적 영향에 대해서는  어떻게 평가하고 있는지 관련부서에 물었으며,  이에 대해 관련부서에서는 이번에 미국이 금리를 인상하게 되면 이로 인해  일부 취약신흥국이 어려움을 겪을 가능성도 있지만 그렇다 하더라도 이것이 신흥  국 전반의 리스크로 확대되지는 않을 것으로 보인다고 답변하였음","신흥국/NNG;위험/NNG;확대/NNG,금리/NNG;인상/NNG"
28,2017-11-30,아울러 동 위원은 국내 보험사가 해외증권투자를 확대하는 과정에서 외은지  점·해외은행 위주의 스왑자금 공급구조나 외화자금 조달·운용 간 만기불일치 문  제가 외환부문의 리스크 요인으로 작용할 가능성은 없을지 면밀히 모니터링할 필  요가 있다는 의견을 나타내었음,해외/NNG;증권/NNG;투자/NNG;확대/NNG
30,2017-11-30,"다른 일부 위원은 LCR(Liquidity Coverage Ratio) 산정에 유리한 영업적 예금의  인정요건이 강화되면서 은행들이 동 비율 제고를 위해 CD나 금융채 등 시장성  수신을 늘리고 있다고 지적하고, 이에 따른 위험성에 대해서는 어떻게 평가하고  있는지 관련부서에 물었으며,  이에 대해 관련부서에서는 주로 예대율에 여유가 있는 일부 은행들이 시장성  수신을 늘리고 있는 데다 이렇게 조달된 자금도 국고채 등 고유동성자산을 매입  하는 데에 활용되고 있어 시장성 수신의 증가를 크게 우려해야 할 상황은 아닌  것으로 판단된다고 답변하였음","시장성/NNG;수신/NNG;증가/NNG,시장성/NNG;수신/NNG;늘/VV"
31,2017-11-30,다만 앞으로 이들 자금이 또 다시 시장성 수신을  통해 차환(roll over)될 경우에는 단기금리의 변동성이 일부 확대될 여지는 있을  것으로 보인다고 덧붙였음,단기/NNG;금리/NNG;변동성/NNG;확대/NNG
33,2017-11-30,"또 다른 일부 위원은 글로벌 주식시장의 과열을 우려하는 견해가 제기되고    - 14 -  있는 가운데 국내 주식시장에서도 그간 상승세를 지속하던 주가가 일부 투자은행  의 반도체 업황에 대한 부정적 전망으로 인해 일시에 반락한 적도 있다고 언급하  면서, 국내 주식시장의 안정성을 어떻게 평가하고 있는지 관련부서의 견해를 물  었으며,  이에 대해 관련부서에서는 기업의 실적 개선, 시장의 수급여건 호전 및 변동  성 축소 등에 비추어 국내 주식시장의 안정성이 과거에 비해 상당히 개선된 것으  로 보인다고 답변하였음","기업/NNG;실적/NNG;개선/NNG,업황/NNG;부정적/VAX,변동성/NNG;축소/NNG,과열/NNG;우려/NNG"
35,2017-10-19,일부 위원은 최근 미국에서는 임금상승세가 확대되고 세제개혁에 대한 기대  감이 커지면서 시장금리 및 달러화 가치의 상승압력이 높아지고 있다고 언급하였  음,"임금/NNG;상승/NNG;확대/NNG,기대/NNG;크/VV"
36,2017-10-19,"그동안 미 연준의 자산매입대상이 국채 이외에 MBS 등으로 확대되어 왔음을  감안할 때 10월부터 시행된 대차대조표의 축소가 비록 금융시장 전반에 미치는  영향은 제한적일지라도 기간프리미엄이나 신용스프레드에는 유의한 영향을 줄 수  있다는 우려가 상존하고 있다고 발언하고, 최근 국제금융시장에 이 같은 징후가  나타나지는 않는지 관련부서에 물었음","대차대조표/NNG;축소/NNG,국채/NNG;확대/NNG"
37,2017-10-19,"이에 대해 관련부서에서는 국제금융시장에서는 미 연준이 대차대조표를 축소  하는 과정에서 기간프리미엄과 신용스프레드가 상승할 것이라는 전망이 제기되고    - 9 -  있지만, 아직까지는 이들 지표에 이상 징후는 감지되지 않고 있다고 답변하였음","fed/NNG;대차대조표/NNG;축소/NNG,신용스프레드/NNG;상승/NNG"
38,2017-10-19,이에 동 위원은 이번에는 실물경기의 회복이라는 펀더멘털(fundamental)의 개  선이 뒷받침되는 가운데 미 연준의 금리인상과 보유자산 축소가 동시에 진행되고  ECB도 조만간 자산매입 축소계획을 발표할 것으로 예상되고 있다고 언급하였음,"fed/NNG;금리/NNG;인상/NNG;보유자산/NNG;축소/NNG,경기/NNG;회복/NNG;펀더멘털/NNG;개선/NNG,실물/NNG;경기/NNG;회복/NNG,자산/NNG;매입/NNG;축소/NNG"
39,2017-10-19,"그러나 그 과정에서 기간프리미엄이나 신용스프레드가 상승하게 된다면 과거의  사례와 같이 취약신흥국이나 위험자산시장에서 가격조정이 재현될 가능성도 배제  할 수는 없을 것으로 보인다는 의견을 나타내고, 향후 신흥국 자금흐름의 잠재적  불안정성을 어떻게 평가하고 있는지 관련부서의 견해를 물었음",신용스프레드/NNG;상승/NNG
41,2017-10-19,"다만 일부 취약신흥  국의 경우 만성적 경상수지 적자, 과다한 달러화 부채, 정치적 불확실성 등으로  어려움을 겪을 가능성이 있다는 지적도 제기되고 있다고 덧붙였음","경상/NNG;수지/NNG;적자/NNG,정치/NNG;불확실성/NNG"
42,2017-10-19,"이어서 동 위원은 금년 9월 은행 가계대출의 증가세가 둔화되긴 하였지만, 이  는 추석 상여금 지급 등으로 신용대출의 증가폭이 크게 축소되었기 때문인 것으  로 보인다는 의견을 나타내었음","은행/NNG;가계/NNG;대출/NNG;증가/NNG,가계/NNG;대출/NNG;증가/NNG;둔화/NNG,신용/NNG;대출/NNG;증가/NNG"
45,2017-10-19,한편 금  년 9월 신용대출의 증가폭 축소는 전월 큰 폭 증가에 따른 반사효과에도 그 원인  이 있는 것으로 분석된다고 첨언하였음,"신용/NNG;대출/NNG;증가/NNG,대출/NNG;증가/NNG;축소/NNG"
46,2017-10-19,"또한 동 위원은 개인사업자대출이 부동산임대업을 위주로 계속 늘어나고 있  다고 언급하면서, 동 대출은 상대적으로 변동금리대출 비중과 일시상환대출 비중  이 높고 차주의 상환능력이 취약하며 부동산경기에도 민감한 것으로 알려져 있다  고 설명하였음",상환능력/NNG;취약/NNG
47,2017-10-19,최근 가계대출에 대한 규제가 강화되면서 일부 대출수요가 개인  사업자대출로 이전되고 있는 것으로 보이므로 가계대출을 분석함에 있어서는 개  인사업자대출을 함께 포함하여 살펴볼 필요가 있다는 견해를 밝혔음,가계/NNG;대출/NNG;규제/NNG;강화/NNG
49,2017-10-19,"이에 동 위원은 사업자대출을 받은 개인사업자 중에서 연체자수가 생각보다  많은 것으로 조사되었다는 언론보도가 있었다고 소개하고, 앞으로 부동산경기나    - 10 -  건설경기가 둔화되면서 부동산임대업 등 개인사업자대출의 건전성이 빠르게 악화  될 가능성은 없는지 관련부서의 견해를 물었으며,  이에 대해 관련부서에서는 개인사업자대출의 사업자수 기준 연체율이 높게  나타난 것은 주로 소액 차주가 많기 때문인 것으로 보인다고 설명하고, 대출금액  기준으로는 연체율이 낮고 담보대출 비중도 높아 금융기관에서는 동 대출의 건전  성이 양호한 것으로 평가하고 있다고 언급하였음","대출/NNG;건전성/NNG;양호/NNG,건설/NNG;경기/NNG;둔화/NNG,연체율/NNG;높/VA,연체율/NNG;낮/VA"
51,2017-10-19,"다른 일부 위원은 국내 금융·외환시장에는 주요국의 통화정책 정상화, 우리경  제의 성장경로에 대한 기대 변화, 북한 리스크의 증대 등 다양한 변동요인들이  상존하고 있다고 언급하였음","북한리스크/NNG;증대/NNG,경제/NNG;성장/NNG"
52,2017-10-19,"이러한 맥락에서 수익률곡선의 변화를 살펴보면 만  기 1년 이하 구간이 LCR규제 강화에 따른 은행채 발행 확대 등으로 올라간 가운  데 이보다 긴 영역도 북한 리스크에 대한 경계감, 당행 통화정책에 대한 기대 변  화 등으로 상승하고 있다고 설명하고, 이들 요인들 중에서 어떠한 요인이 장기시  장금리에 주로 영향을 미치고 있는 것으로 보이는지 관련부서의 견해를 물었음",북한리스크/NNG;경계/NNG
54,2017-10-19,"또 다른 일부 위원은 IRS금리에 내재된 기준금리의 인상기대가 서베이 결과  에 비해 높아 보인다고 지적하면서, 이에 대한 관련부서의 견해를 물었으며,  이에 대해 관련부서에서는 IRS금리는 시장의 기대뿐만 아니라 수급여건 등에  의해서도 영향을 받기 때문에 서베이 결과와 병행하여 기준금리의 인상기대를 살  펴봐야 할 것으로 보인다고 답변하였음",금리/NNG;인상/NNG;기대/NNG;살/VV
56,2017-10-19,"이에 동 위원은 CD금리의 경직성 등 시장 자체적인 요인으로 인해 IRS금리  에 내재된 기대에 한계가 있는 것은 아닌지 관련부서에 물었으며,  이에 대해 관련부서에서는 그 산출과정에서 비교되는 CD금리의 움직임이 다  소 경직적인 측면도 있지만 이 같은 특성이 CD금리와 교환되는 고정금리인 IRS    - 11 -  금리에도 함께 반영되어 있으므로 이것이 IRS금리에 내재된 기대에는 영향을 미  치지 않을 것으로 보인다고 답변하였음","cd/NNG;금리/NNG;경직/NNG,기대/NNG;한계/NNG"
57,2017-10-19,"이어서 동 위원은 8·2 주택시장 대책이 점진적이나마 지속적으로 가계대출에  영향을 미칠 것으로 보인다는 관련부서의 견해와 관련하여 경상GDP 성장률 등에  비추어 가계대출의 증가속도가 안정화 단계에 접어든 것으로 평가될 수 있는 수  준은 어느 정도일지, 그 시점은 언제가 될지 등을 좀 더 고민해 볼 필요가 있다  는 의견을 나타내었음",가계/NNG;대출/NNG;증가/NNG
58,2017-10-19,"또한 동 위원은 최근 상업용부동산 투자수익률의 변동요인에 대해 관련부서  에 물었으며,  이에 대해 관련부서에서는 상업용부동산 투자수익률의 경우 임대수익률에는  큰 변화가 없는 가운데 자본수익률(capital gain)이 상가 등의 가격이 오르면서 상  승하였다고 답변하였음",가격/NNG;오르/VV
59,2017-10-19,한편 일부 위원은 신흥국의 금융·경제여건이 호전되고 있음을 감안할 때 향후  미국의 금리인상에 따른 부정적 영향이 이들 국가를 통해 국내로 파급될 가능성  은 크지 않아 보인다는 의견을 나타내었음,금리/NNG;인상/NNG
60,2017-10-19,이어서 동 위원은 이번 미 재무부의 환율보고서와 관련하여 앞으로도 대미  무역수지 흑자규모가 축소되고 GDP대비 경상수지 흑자비율도 하락할 것으로 예  상되므로 우리나라가 심층분석 대상국으로 지정될 가능성은 그만큼 낮아질 것으  로 보인다는 견해를 밝혔음,"대미/NNG;무역/NNG;흑자/NNG,경상/NNG;수지/NNG;흑자/NNG"
61,2017-10-19,"또한 동 위원은 지난 8∼9월중 변동폭이 컸었던 신용대출을 제외하면 8·2 주  택시장 대책에 따른 영향이 가계대출의 증가세 둔화로 점차 가시화되고 있는 것  으로 보아도 되는지 관련부서의 견해를 물었으며,  이에 대해 관련부서에서는 주택시장 대책의 효과가 가계대출 지표에도 서서  히 나타나고 있는 것으로 보인다고 답변하고, 다만 4/4분기에는 가계대출이 큰 폭  으로 늘어나는 경향이 있으므로 증가세가 뚜렷하게 둔화되지는 않을 것으로 예상  된다고 덧붙였음",가계/NNG;대출/NNG;증가/NNG;둔화/NNG
62,2017-10-19,이에 동 위원은 최근 코픽스(COFIX) 연동 주택담보대출 등의 금리가 상승함,주택담보대출/NNG;금리/NNG;상승/NNG
63,2017-10-19,"에 따라 그간 진정되지 않던 가계대출의 증가속도가 둔화될 것이라는 언론보도가    - 12 -  있었다고 소개하고, 이러한 점을 감안하여 앞으로도 가계대출의 움직임을 지속적  으로 모니터링해 달라고 당부하였음","대출/NNG;증가/NNG;속도/NNG;둔화/NNG,가계/NNG;대출/NNG;증가/NNG"
64,2017-10-19,"한편 우리나라의 가처분소득대비 가계부채  비율이 좀 더 낮아져야 될 것으로 보인다고 언급하면서, 가계부채 관리대책, 소득  증대 노력 등 이를 위한 여건이 점차 조성되고 있는 것으로 생각된다는 의견을  나타내었음",소득/NNG;증대/NNG
66,2017-10-19,"이어서 동 위원은 앞으로도 중소기업대출이 가계대출 억제 대책, 혁신성장 정  책 등으로 계속 늘어날 것으로 보인다는 의견을 제시하고, 다만 그 과정에서 신  용리스크 등이 부각될 우려는 없는지 면밀히 살펴볼 필요가 있다고 언급하였음","가계/NNG;대출/NNG;억제/NNG,우려/NNG;없/VA"
67,2017-10-19,이에 대해 관련부서에서는 국내경기의 회복세가 이어지는 가운데 은행의 리  스크 관리 노력도 계속되고 있는 데다 비록 중소기업대출이 정책적 요인에 의해  늘어난다 하더라도 그 폭이 급격하게 확대될 가능성은 낮아 보이므로 동 대출의  건전성이 갑자기 악화되지는 않을 것으로 생각된다고 답변하였음,경기/NNG;회복/NNG
68,2017-10-19,"또한 동 위원은 최근 은행채 발행 확대 등으로 단기 신용채권시장의 투자심  리가 일부 위축된 가운데 앞으로 회사채시장을 통한 자금조달도 시장금리의 변동  성 확대 우려, 북클로징 등 연말 효과 등으로 다소 주춤해질 가능성이 있다는 관  련부서의 견해에 대해 미국 금리인상, 북한 리스크 등 다양한 요인들이 상존하고  있으므로 채권시장의 동향을 계속하여 면밀히 모니터링해 달라고 당부하였음","크레딧/NNG;시장/NNG;투자심리/NNG;위축/NNG,금리/NNG;변동성/NNG;확대/NNG;우려/NNG,금리/NNG;인상/NNG"
69,2017-10-19,"아울러 동 위원은 최근 장기시장금리가 상승한 데에는 통화정책에 대한 기대  도 일부 영향을 미친 것으로 보인다고 언급하면서, 향후 장기시장금리는 어떠한  움직임을 보일 것으로 예상되는지 관련부서의 견해를 물었으며,  이에 대해 관련부서에서는 장기시장금리의 움직임은 앞으로의 통화정책방향  에 관한 커뮤니케이션에 따라 달라질 것으로 보인다고 답변하였음",금리/NNG;상승/NNG
70,2017-10-19,다른 일부 위원은 북한 리스크의 증대에도 불구하고 실물경제지표나 시장가  격지표에 별다른 변화는 감지되지 않고 있다고 언급하였음,북한리스크/NNG;증대/NNG
71,2017-10-19,다만 CDS 프리미엄    - 13 -  이 주요국과는 달리 계속 상승하고 있고 스왑시장에도 일부 취약성이 잠재되어  있는 것으로 평가되고 있으므로 국내 외환시장이나 외화자금시장에 작은 교란이  라도 발생할 우려는 없는지 면밀히 점검하고 그 가능성에도 충분히 대비할 필요  가 있다는 의견을 나타내었음,우려/NNG;없/VA
72,2017-10-19,"이어서 동 위원은 지난 몇 년간 9월마다 가계대출의 증가폭이 축소된 이유는  무엇인지 관련부서에 물었으며,  이에 대해 관련부서에서는 주로 신용대출이 8월 휴가철에 늘어났다가 9월 들  어 추석 상여금 지급 등으로 줄어드는 경향이 있기 때문인 것으로 보인다고 답변  하였음",가계/NNG;대출/NNG;증가/NNG;축소/NNG
75,2017-10-19,그렇지만 북한 리스크는 우리경제의 가장 큰 위험요인으로서 외국인의 증권  투자에 영향을 미쳐 금융시장의 변동성을 확대시키고 국내외 경제주체들의 심리  도 위축시킬 수 있는 만큼 이에 계속 유의할 필요가 있다는 의견을 나타내었음,금융시장/NNG;변동성/NNG;확대/NNG
78,2017-10-19,"이러한 맥락에서 앞으로도 외국인의 증권투자자금이 시장상  황의 변화, 자체적인 운용전략 변경, 북한 리스크 등으로 순유출되더라도 그 전에  장기간 큰 폭의 순유입세가 지속되었음을 감안한다면 이는 자금흐름이 조정되는  일부 긍정적인 효과도 있을 것으로 생각된다는 의견을 제시하였음",긍정적/VAX;효과/NNG
80,2017-08-31,일부 위원은 미국의 금리 정상화 행보에도 불구하고 미 달러화가 약세기조를  지속하면서 신흥국으로 자본이 유입되고 국제원자재가격이 상승하고 있으며 여타  주요국에서도 통화 강세의 영향으로 인플레이션과 시장금리가 하락압력을 받을  가능성이 있다는 의견을 나타내었음,"국제/NNG;원자재/NNG;가격/NNG;상승/NNG,금리/NNG;하락/NNG;압력/NNG,통화/NNG;강세/NNG"
81,2017-08-31,"지난 몇 년 전과 차별화된 이러한 현상은  근본적으로 경기회복세 지속 가능성에 대한 의구심에서 비롯되었다는 시각이 있  다고 소개하고, 미 달러화 약세기조의 원인이 무엇이라고 생각하는지, 앞으로도  이 같은 흐름이 계속 이어질 것으로 보이는지 관련부서의 견해를 물었음",근본적/VAX;경기/NNG;회복/NNG
82,2017-08-31,"이에 대해 관련부서에서는 미 달러화가 주로 유로화에 대해 약세기조를 보이  고 있다고 언급하고, 이는 유로지역의 경기회복세가 좀 더 강화되는 가운데 국제  금융시장에서 미 연준의 금리인상은 지연되는 반면 ECB의 양적완화는 축소될 것  이라는 기대가 일정부분 반영되고 있기 때문인 것으로 풀이된다고 답변하였음","국제/NNG;금융시장/NNG;fed/NNG;금리/NNG;인상/NNG,fed/NNG;금리/NNG;인상/NNG;지연/NNG,ecb/NNG;양적완화/NNG;축소/NNG,유로존/NNG;경기/NNG;회복/NNG"
83,2017-08-31,이에 더하여 미 Trump 정부 정책에 대한 기대 약화 등을 감안할 때 앞으로도 이  러한 기조가 당분간 이어질 가능성도 배제할 수는 없을 것으로 보인다고 덧붙였  음,기대/NNG;약화/NNG
84,2017-08-31,이에 동 위원은 미 달러화의 약세기조가 지속될 경우에는 미국의 인플레이션  압력이 상승하고 이에 따라 미 연준의 금리 정상화 속도가 빨라지면서 미 달러화  환율 등이 조정을 받을 가능성도 있는 만큼 앞으로도 지속적으로 모니터링할 필  요가 있다고 당부하였음,인플레이션/NNG;압력/NNG;상승/NNG
85,2017-08-31,"- 9 -  이어서 동 위원은 미 연준의 대차대조표 축소에 따른 영향이 비록 시장금리  에는 제한적이라 하더라도 유동성 상황 등 금융여건에는 어떻게 작용할지 쉽게  예단할 수 없을 것으로 보인다고 지적하고, 앞으로 대차대조표 축소 개시에도 불  구하고 금융시장의 낙관적 투자심리와 완화적 상황이 계속 유지될 수 있을 것으  로 보이는지 관련부서의 견해를 물었으며,  이에 대해 관련부서에서는 미 연준의 대차대조표 축소가 금융시장에 미치는  영향을 최소화하는 방향으로 추진될 것으로 알려지면서 이러한 부분이 금융시장  의 투자심리나 가격변수에도 일정부분 반영되고 있는 것으로 보인다고 답변하였  음","fed/NNG;대차대조표/NNG;축소/NNG,금융시장/NNG;낙관/NNG,투자심리/NNG;완화/NNG,금리/NNG;제한적/VAX"
86,2017-08-31,아울러 일각에서는 그 진행과정에서 금융시장의 마찰적 요인 등으로 예기치  않은 충격이 발생할 가능성이 있다는 주장도 제기되고 있다고 첨언하였음,예기/NNG;않/VX;충격/NNG
87,2017-08-31,"또한 동 위원은 전일 북한 리스크가 재차 부각되었는데 CDS 프리미엄 등 가  격변수에 이상한 조짐은 없는지 관련부서에 물었으며,  이에 대해 관련부서에서는 CDS 프리미엄과 원화 환율이 상승하긴 하였지만  이후에는 NDF 환율이 하락하는 등 금융시장이 안정을 되찾는 모습을 보이고 있  다고 답변하였음","원화/NNG;환율/NNG;상승/NNG,금융시장/NNG;안정/NNG"
88,2017-08-31,"아울러 동 위원은 고정금리부 주택담보대출의 금리가 상승하고 있는 것은 수  익률곡선의 기울기가 완만하나마 가팔라진 가운데 그간 정책당국의 고정금리부  대출 유도, 주택금융공사의 저리상품 공급 등으로 상대적으로 크게 낮아졌던 대  출금리가 일부 정상화되고 있기 때문인 것으로 판단된다는 의견을 나타내었음",주택담보대출/NNG;금리/NNG;상승/NNG
90,2017-08-31,이에 대해 관련부서에서는 연초 이래 고정금리부 대출금리가 상승하였지만  변동금리부 대출금리까지 감안하면 전체적으로는 주택담보대출 금리에 큰 변화는  없었던 것으로 보인다고 답변하였음,대출/NNG;금리/NNG;상승/NNG
91,2017-08-31,"이어서 동 위원은 은행이 금리상승기에 대비하여 변동금리부 주택담보대출을  확대하면서 가계부문으로 금리변동위험이 이전될 수 있으며, 주택금융공사의 적  격대출이 축소되거나 DSR 규제가 도입될 경우에는 일부 실수요자들이 주택자금  조달에 어려움을 겪을 가능성도 있다고 언급하였음","가계/NNG;금리/NNG;변동/NNG;위험/NNG,주택담보대출/NNG;확대/NNG,대출/NNG;축소/NNG"
92,2017-08-31,이에 대처하기 위해서는 주  요 선진국과 같이 민간 주도의 장기고정금리 모기지(mortgage) 시장과 커버드 본    - 10 -  드(covered bond) 시장을 활성화하여 공적보증에 따른 대출금리의 왜곡현상을 정  상화하는 가운데 은행의 만기불일치 위험 해소 및 원활한 장기자금 조달을 뒷받  침할 필요가 있다는 의견을 제시하였음,"불일치/NNG;위험/NNG,위험/NNG;해소/NNG"
